Agente,Espec_Medica,Acurácia,Sensibilidade (Dengue),Especificidade,F1-Score,Precisão,Custo Total de Testes,Custo por Acerto,Redução de Testes (%),Recompensa Total
Aleatório,0.7177237089537959,0.7107142857142856,0.7035714280688776,0.7178571423443878,0.708310933544541,0.7136415047279712,93.8,0.4894380846290514,83.25,-433.15
DQN_dqn_dengue_policy,0.7177237089537959,0.7125,0.7142857137755103,0.7107142852066327,0.7126069884917958,0.7118131188530541,0.0,0.0,100.0,-260.0
DQN_dqn_dengue_policy2,0.7177237089537959,0.7110714285714286,0.7078571423515306,0.7142857137755103,0.7093023638531579,0.7114506727800183,260.0,1.3553986750961995,53.57142857142857,-260.0
DQN_dqn_dengue_policy3,0.7177237089537959,0.7117857142857142,0.7035714280688776,0.7199999994857144,0.7075567795359359,0.7128568819880381,12.7,0.05845850766468032,97.73214285714286,-256.83000000000004
DQN_dqn_dengue_policy4,0.7177237089537959,0.7092857142857143,0.7064285709239797,0.7121428566341838,0.7075122707829093,0.7095931832076743,56.2,0.298730408680686,89.96428571428571,-331.2
DQN_dqn_dengue_policy5,0.7177237089537959,0.7064285714285714,0.7164285709168368,0.6964285709311225,0.708664104920481,0.701391049957933,64.9,0.38265729907356444,88.41071428571429,-324.41
DQN_dqn_dengue_policy6,0.7177237089537959,0.6996428571428572,0.697142856644898,0.7021428566413266,0.6986776286115303,0.7008982479258501,125.1,0.7119867145900439,77.66071428571429,-420.65
DQN_dqn_dengue_policy_SEED_42,0.7177237089537959,0.7057142857142857,0.7071428566377551,0.7042857137826531,0.7057142569787637,0.7045852013565643,81.2,0.49188392735337,85.5,-301.76000000000005
DQN_dqn_dengue_policy_SEED_850,0.7177237089537959,0.7132142857142857,0.7149999994892857,0.7114285709204082,0.7132551296221694,0.7125906517423181,39.3,0.23572815694249463,92.98214285714286,-474.91
DQN_policy_best,0.7177237089537959,0.7164285714285714,0.7185714280581633,0.7142857137755103,0.7174732831774229,0.7169940892658533,52.5,0.24251127675311945,90.625,-329.46999999999997
Q-Learning,0.7177237089537959,0.7067857142857144,0.7114285709204082,0.7021428566413266,0.7092181103169698,0.7078191643872173,182.1,0.9559679067151438,67.48214285714286,-352.8
